Danny Lloyd
Danny Trejo
Dany Carrel
Darry Cowl
Daryl Hannah
Dave Chappelle
David Bradley
David Carradine
David Essex
David James Elliott
David Janssen
David Lynch
David Niven
David Nykl
David Tennant
David Thewlis
David Warner
David Wenham
Dean O’Gorman
Debbie Reynolds
Deborah Kerr
Debra Paget
Deepika Padukone
Delphine Seyrig
Demi Moore
Denise Richards
Dennis Hopper
Dennis Quaid
Denzel Washington
Desi Arnaz
Dev Anand
Dev Patel
Dhanush
Dharmendra
Diana Dors
Diane Franklin
Diane Keaton
Diane Kruger
Diane Lane
Dick Van Dyke
Diego Luna
Dilip Kumar
Dino Mele
Dita von Teese
Divya Bharti
Diya Mirza
Dolores Del Rio
Dolph Lundgren
Dominic Cooper
Dominic Monaghan
Dominique Pinon
Dominique Swain
Don Adams
Don Cheadle
Donald Pleasence
Donald Sutherland
Donna Reed
Donnie Yen
Doris Day
Dorothy Dandridge
Dorothy Lamour
Dorothy Malone
Doug Bradley
Doug Jones
Drake Bell
Drew Barrymore
Drew Carey
Dustin Hoffman
Dwight Schultz
Dylan O’Brien
Dylan Sprayberry
Ed Harris
Eddie Constantine
Eddie Izzard
Eddie Murphy
Eddie Redmayne
Edie Sedgwick
Edmund Gwenn
Edward Burns
Edward Furlong
Edward G. Robinson
Edward Norton
Edward Speleers
Edwige Fenech
Edwige Feuillère
Eion Bailey
Eleanor Parker
Eli Wallach
Elijah Wood
Elisabeth Shue
Elisabeth Sladen
Eliza Dushku
Eliza Taylor-Cotter
Elizabeth Banks
Elizabeth Hurley
Elizabeth McGovern
Elizabeth Montgomery
Elizabeth Olsen
Elizabeth Reaser
Elizabeth Taylor
Elke Sommer
Ella Raines
Elle Fanning
Ellen Muth
Ellen Page
Elli Lambéti
Elodie Fontan
Elsa Lanchester
Elsa Martinelli
Elsa Pataky
Elsa Zylberstein
Emile Hirsch
Emilia Fox
Emilio Estevez
Emily Bett Rickards
Emily Blunt
Emily Browning
Emily Watson
Emma de Caunes
Emma Thompson
Emma Watson ( portraits)
Emmanuelle Béart
Emmanuelle Seigner
Emmy Rossum
Emraan Hashmi
Engin Akyürek
Erdogan Atalay
Eric Bana
Eric Idle
Eric Schweig
Erich von Stroheim
Erin Kelly
Ernest Borgnine
Errol Flynn
Estella Warren
Esther Ralston
Ethan Hawke
Eva Marie Saint
Eva Mendes
Evan Peters
Evan Rachel Wood
Evanna Lynch
Ewan McGregor
Ezra Miller
F. Murray Abraham
Fabrice Luchini
Facundo Arana
Fairuza Balk
Famke Janssen
Fanny Ardant
Fanny Cottençon
Farhan Akhtar
Faye Dunaway
Federico Fellini
Felicity Jones
Fernandel
Fess Parker
Forest Whitaker
Frances McDormand
Francesca Neri
Francis Blanche
Francis Huster
Franco Nero
François Arnaud
François Cluzet
François Truffaut
Françoise Dorléac
Frank Dillane
Franka Potente
Fred Astaire
Freddie Highmore
Freddie Prinze Jr.
Fredric March
Freida Pinto
Gabriel Byrne
Gabriel Garko
Gabriel Macht
Gabriele Ferzetti
Gabrielle Anwar
Gabrielle Union
Gael García Bernal
Gail Russell
Gal Gadot
Gale Harold
Garett Maggart
Garrett Hedlund
Gary Cooper
Gary Oldman
Gary Sinise
Gaspard Ulliel
Gedeon Burkhard
Geena Davis
Gemma Arterton
Gena Rowlands
Gene Hackman
Gene Kelly
Gene Tierney
Gene Wilder
Genelia D’Souza
Genevieve Bujold
Geoffrey Rush
George Burns
George C. Scott
George Chakiris
George Clooney
George Lazenby
George Lucas
George Peppard
George Raft
Georges Corraface
Georges Descrières
Georges Méliès
Georges Poujouly
Georgie Henley
Geraldine Chaplin
Géraldine Pailhas
Gerard Butler
Gérard Darmon
Gérard Depardieu
Gérard Jugnot
Gérard Lanvin
Gérard Philipe
Gerhard Polt
Gian Maria Volontè
Giancarlo Esposito
Gil Birmingham
Gilbert Bécaud
Gina Gershon
Gina Lollobrigida
Gina Torres
Ginette Leclerc
Ginger Rogers
Giuliano Gemma
Giulietta Masina
Glenn Close
Glenn Ford
Gloria Grahame
Gloria Stuart
Gloria Swanson
Goldie Hawn
Golshifteh Farahani
Gong Li
Gong Yoo
Gordon Liu
Grace Kelly
Graham Greene
Greer Garson
Gregory Peck
Greta Garbo
Groucho Marx
Guillaume Canet
Guillaume Depardieu
Guy Marchand
Guy Pearce
Guy Williams
Gwyneth Paltrow
Hailee Steinfeld
Haley Joel Osment
Halle Berry
Hansika Motwani
Hardy Krüger
Harold Lloyd
Harold Sakata
Harpo Marx
Harrison Ford
Harry Baur
Harry Belafonte
Harry Dean Stanton
Harvey Keitel
Hayao Miyazaki
Hayden Christensen
Hayley Atwell
Heath Ledger
Heather Graham
Heather O’Rourke
Hedy Lamarr
Helen Hunt
Helen McCrory
Helena Bonham Carter
Hélène de Fougerolles
Hema Malini
Henry Cavill
Henry Fonda
Henry Winkler
Hero Fiennes-Tiffin
Hilary Swank
Hiroshi Abe
Hiroyuki Sanada
Honor Blackman
Horst Buchholz
Hrithik Roshan
Hugh Bonneville
Hugh Dancy
Hugh Grant
Hugh Jackman
Hugo Weaving
Humphrey Bogart
Iain Glen
Ian Holm
Ian McDiarmid
Ian McKellen
Ida Lupino
Idina Menzel
Inger Nilsson
Ingmar Bergman
Ingrid Bergman
Ioan Gruffudd
Irfan Khan
Isabel Lucas
Isabella Rossellini
Isabelle Adjani
Isabelle Carré
Isabelle Huppert
Isla Fisher
Izabella Scorupco
Jack Black
Jack Davenport
Jack Elam
Jack Haley
Jack Hawkins
Jack Lemmon
Jack Nicholson
Jack O’Halloran
Jack Palance
Jack Wild
Jackie Chan
Jackie Coogan
Jackie Cooper
Jackie Earle Haley
Jackie Gleason
Jaclyn Smith
Jacqueline Bisset
Jacqueline Fernandez
Jacques Tati
Jacques Villeret
Jada Pinkett Smith
Jaden Smith
Jaime King
Jake Gyllenhaal
Jaleel White
James & Oliver Phelps
James Brolin
James Caan
James Cagney
James Coburn
James Dean
James Earl Jones
James Finlayson
James Franco
James Garner
James Marsden
James Mason
James McAvoy
James Purefoy
James Spader
James Woods
Jamie Bamber
Jamie Bell
Jamie Campbell Bower
Jamie Foxx
Jamie Lee Curtis
Jane Fonda
Jane Lynch
Jane March
Jane Russell
Jane Wyman
Janet Gaynor
Janet Leigh
Jang Hyuk
January Jones
Jared Leto ( portraits)
Jason Aaron Baca
Jason Isaacs
Jason Lee
Jason Priestley
Jason Robards
Jason Statham
Javier Bardem
Jay Baruchel
Jay Hernandez
Jay Tavare
Jaya Bachchan
Jean Arthur
Jean Carmet
Jean Dujardin
Jean Gabin
Jean Harlow
Jean Lefebvre
Jean Marais
Jean Peters
Jean Reno
Jean Rochefort
Jean Seberg
Jean Simmons
Jean Yanne
Jean-Baptiste Maunier
Jean-Claude Van Damme
Jean-Hugues Anglade
Jean-Louis Barrault
Jean-Louis Trintignant
Jean-Marc Barr
Jean-Michel Tinivelli
Jean-Paul Belmondo
Jean-Paul Rouve
Jean-Pierre Bacri
Jean-Pierre Darroussin
Jean-Pierre Marielle
Jeanne Crain
Jeanne Moreau
Jeff Bridges
Jeff Chandler
Jeff Cohen
Jeff Goldblum
Jeffrey Hunter
Jemima Rooper
Jena Malone
Jenna Dewan
Jennifer Connelly
Jennifer Garner
Jennifer Grey
Jennifer Jones
Jennifer Lawrence
Jennifer Love Hewitt
Jennifer Saunders
Jeremy Davies
Jeremy Irons
Jeremy Irvine
Jeremy Renner
Jeremy Sumpter
Jerry Hall
Jerry Lewis
Jerry O’Connell
Jesse Eisenberg
Jesse Spencer
Jessica Alba
Jessica Biel
Jessica Lange
Jet Li
Jewel Staite
Jill Hennessy
Jill Ireland
Jim Carrey
Jim Caviezel
Jimmy Carr
Jimmy Stewart
Jirayu La-ongmanee
Joan Collins
Joan Crawford
Joan Fontaine
Joanna Lumley
Joanne Woodward
Joaquin Phoenix
Jodelle Ferland
Jodie Foster
Joe Flanigan
Joe Mantegna
Joe Pesci
Joel Kinnaman
Joel McCrea
John Abraham
John Belushi
John C. Reilly
John Candy
John Carpenter
John Cleese
John Cusack
John Gielgud
John Glover
John Goodman
John Hurt
John Malkovich
John Mills
John Rhys-Davies
John Simm
John Travolta
John Turturro
John Wayne
Johnny Depp ( portraits)
Jon Heder
Jon Voight
Jonathan Brandis
Jonathan Ke Quan
Jonathan Pienaar
Jonathan Taylor Thomas
Jonathan Togo
Jonny Lee Miller
Jordana Brewster
José Garcia
Joseph Cotten
Joseph Fiennes
Joseph Gordon-Levitt
Joseph Wiseman
Josh Brolin
Josh Hartnett
Josh Hutcherson
Josh Lucas
Josiane Balasko
Jude Law
Judi Dench
Judith Godrèche
Juhi Chawla
Jules Houplain
Julia Ormond
Julia Roberts
Julia Stiles
Julian McMahon
Julianne Moore
Julie Andrews
Julie Christie
Julie Depardieu
Julie Gayet
Julie Newmar
Juliette Binoche
Juliette Lewis
Jun Ji-hyun
Juno Temple
Jürgen Prochnow
Justin Chambers
Justin Chatwin
Justin Hartley
Justin Long
Kabir Bedi
Kajal Aggarwal
Kajol
Kamal Haasan
Kangana Ranaut
Kareena Kapoor
Karen Allen
Karisma Kapoor
Karl Malden
Karl Urban
Kat Dennings
Kate Beckinsale
Kate Hudson
Kate Mulgrew
Kate Winslet
Katharine Hepburn
Katharine Ross
Kathleen Byron
Kathleen Turner
Kathy Bates
Katie Cassidy
Katie Holmes
Katie Leung
Katrina Kaif
Katy Jurado
Keanu Reeves
Keir Dullea
Keira Knightley ( portraits)
Kelly Preston
Ken Watanabe
Ken’ichi Matsuyama
Kenan Imirzalioglu
Kenneth Branagh
Kerry Washington
Kevin Bacon
Kevin Costner
